cvegeo,nombre,pob_alimentaria,pob_capacidades,pob_patrimonio,analfabeta,no_escuela,ed_basica,rezago
01,Aguascalientes,14.9,23.6,51.1,4.15         ,4.53         ,41.83         , 1.14451     
02,Baja California,1.3,2.3,9.2,3.07         ,4.77         ,38.94         , 0.66364     
03,Baja California Sur,4.7,8.0,23.5,3.60         ,4.03         ,38.92         , 0.48199     
04,Campeche,20.0,27.3,51.4,10.17         ,5.11         ,49.00         , 0.32493     
05,Coahuila,8.6,15.2,41.0,3.28         ,3.84         ,38.13         , 1.25058     
06,Colima,8.9,14.9,38.5,6.42         ,4.77         ,43.72         , 0.75695     
07,Chiapas,47.0,55.9,75.7,21.33         ,9.65         ,64.65         , 2.54814     
08,Chihuahua,8.6,13.3,34.2,4.41         ,5.83         ,47.45         , 0.60645     
09,Distrito Federal,5.4,10.3,31.8,2.59         ,2.71         ,28.28         , 1.39650     
10,Durango,24.4,33.7,59.4,4.83         ,4.98         ,49.55         , 0.24121     
11,Guanajuato,18.9,26.6,51.6,10.43         ,6.58         ,56.02         , 0.16221     
12,Guerrero,42.0,50.2,70.2,19.86         ,7.09         ,57.98         , 2.43614     
13,Hidalgo,25.7,33.0,54.2,12.79         ,4.27         ,49.95         , 0.59281     
14,Jalisco,10.9,17.2,41.6,5.54         ,5.96         ,46.91         , 0.59841     
15,México,14.3,22.4,49.9,5.31         ,4.22         ,38.65         , 0.36296     
16,Michoacán,23.3,30.8,54.5,12.57         ,7.74         ,58.46         , 0.66759     
17,Morelos,10.7,17.3,41.4,8.12         ,5.09         ,41.19         , 0.17549     
18,Nayarit,17.2,23.3,43.8,8.00         ,4.67         ,45.72         , 0.41581     
19,Nuevo León,3.6,7.2,27.5,2.77         ,3.30         ,32.64         , 1.43843     
20,Oaxaca,38.1,46.9,68.0,19.33         ,6.18         ,62.59         , 2.20393     
21,Puebla,26.7,35.3,59.0,12.70         ,6.67         ,53.54         , 0.97493     
22,Querétaro,12.5,17.9,37.7,8.13         ,5.14         ,43.39         , 0.04429     
23,Quintana Roo,11.0,16.0,36.5,6.58         ,3.94         ,39.77         , 0.15036     
24,San Luis Potosí,25.7,33.3,55.5,9.91         ,4.17         ,49.53         , 0.30870     
25,Sinaloa,13.7,20.5,44.2,6.42         ,4.52         ,44.89         , 0.45359     
26,Sonora,9.6,15.8,40.4,3.73         ,3.32         ,38.96         , 0.85668     
27,Tabasco,28.5,36.6,59.4,8.56         ,4.47         ,45.23         , 0.03207     
28,Tamaulipas,10.3,17.5,44.9,4.51         ,4.09         ,41.82         , 0.69581     
29,Tlaxcala,17.9,26.2,51.4,6.67         ,4.27         ,44.09         , 0.04523     
30,Veracruz,28.0,36.3,59.3,13.41         ,5.93         ,55.42         , 0.95039     
31,Yucatán,18.1,26.2,51.7,10.87         ,4.20         ,51.11         , 0.34395     
32,Zacatecas,20.9,29.3,53.6,7.19         ,5.52         ,57.48         , 0.09395     
